Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,68.870003,69.040001,68.529999,69.010002,69.010002,65900
2020-01-03,68.070000,68.349998,67.680000,67.730003,67.730003,78100
2020-01-06,66.870003,67.260002,66.699997,67.230003,67.230003,68200
2020-01-07,66.290001,66.690002,66.279999,66.500000,66.500000,124400
2020-01-08,65.830002,66.839996,65.769997,66.639999,66.639999,80700
2020-01-09,66.209999,66.360001,65.900002,66.129997,66.129997,400800
2020-01-10,65.940002,66.110001,65.540001,65.650002,65.650002,210600
2020-01-13,65.489998,65.860001,65.370003,65.860001,65.860001,190700
2020-01-14,65.489998,65.870003,65.389999,65.800003,65.800003,131300
2020-01-15,65.660004,66.019997,65.570000,65.820000,65.820000,359400
2020-01-16,65.720001,66.589996,65.610001,66.580002,66.580002,94500
2020-01-17,67.470001,67.480003,67.150002,67.220001,67.220001,59600
2020-01-21,65.379997,65.459999,64.379997,64.480003,64.480003,269000
2020-01-22,65.190002,65.669998,65.050003,65.150002,65.150002,161600
2020-01-23,63.900002,63.930000,63.070000,63.720001,63.720001,363900
2020-01-24,63.490002,63.680000,62.060001,62.419998,62.419998,325400
2020-01-27,60.419998,60.419998,58.959999,59.810001,59.810001,214600
2020-01-28,60.400002,61.500000,60.349998,61.380001,61.380001,183400
2020-01-29,61.580002,61.930000,61.369999,61.389999,61.389999,136800
2020-01-30,60.790001,61.630001,60.650002,61.610001,61.610001,103000
2020-01-31,61.990002,61.990002,61.119999,61.389999,61.389999,288000
2020-02-03,61.000000,61.490002,60.939999,60.950001,60.950001,128600
2020-02-04,62.950001,63.290001,62.700001,62.779999,62.779999,183100
2020-02-05,63.830002,64.320000,63.650002,64.129997,64.129997,819600
2020-02-06,63.549999,63.770000,63.330002,63.349998,63.349998,508300
2020-02-07,62.090000,62.139999,61.400002,61.480000,61.480000,278100
2020-02-10,61.299999,61.520000,61.070000,61.380001,61.380001,230800
2020-02-11,61.950001,63.660000,61.849998,63.040001,63.040001,983300
2020-02-12,62.880001,63.770000,62.779999,63.770000,63.770000,843400
2020-02-13,62.680000,63.070000,62.570000,62.759998,62.759998,264400
2020-02-14,63.000000,63.000000,62.290001,62.570000,62.570000,253000
2020-02-18,63.450001,64.230003,63.180000,63.880001,63.880001,198100
2020-02-19,64.800003,65.720001,64.529999,65.449997,65.449997,267400
2020-02-20,65.839996,66.250000,65.650002,65.919998,65.919998,734700
2020-02-21,65.449997,65.500000,64.750000,65.139999,65.139999,626400
2020-02-24,63.139999,63.139999,60.610001,60.880001,60.880001,349100
2020-02-25,61.000000,61.119999,57.980000,58.020000,58.020000,316100
2020-02-26,58.490002,59.270000,56.970001,57.009998,57.009998,552500
2020-02-27,56.590000,57.889999,55.639999,55.639999,55.639999,607500
2020-02-28,55.009998,55.889999,54.110001,55.130001,55.130001,394400
2020-03-02,55.029999,55.520000,53.610001,55.490002,55.490002,705200
2020-03-03,55.389999,56.000000,53.459999,53.880001,53.880001,339000
2020-03-04,54.770000,55.470001,53.750000,55.450001,55.450001,305400
2020-03-05,52.930000,53.450001,51.770000,52.099998,52.099998,519200
2020-03-06,49.259998,52.900002,49.099998,50.990002,50.990002,838800
2020-03-09,50.090000,51.610001,48.759998,49.099998,49.099998,1137000
2020-03-10,51.500000,51.849998,48.779999,51.209999,51.209999,607900
2020-03-11,50.220001,50.220001,46.560001,47.209999,47.209999,502200
2020-03-12,42.740002,43.820000,40.000000,42.490002,42.490002,1183300
2020-03-13,44.139999,44.619999,41.080002,44.619999,44.619999,447400
2020-03-16,36.130001,36.980000,35.009998,35.549999,35.549999,557100
2020-03-17,34.349998,35.750000,33.610001,35.730000,35.730000,890500
2020-03-18,33.209999,33.919998,28.520000,30.830000,30.830000,667600
2020-03-19,26.170000,29.920000,25.389999,28.459999,28.459999,1202300
2020-03-20,31.530001,33.270000,30.590000,30.740000,30.740000,973000
2020-03-23,30.010000,31.549999,29.709999,30.389999,30.389999,752200
2020-03-24,32.779999,36.220001,32.650002,35.849998,35.849998,584600
2020-03-25,38.470001,41.020000,37.849998,39.730000,39.730000,591000
2020-03-26,41.950001,46.220001,41.630001,43.770000,43.770000,1322200
2020-03-27,43.599998,43.610001,41.029999,42.230000,42.230000,786100
2020-03-30,41.299999,42.360001,40.439999,41.759998,41.759998,431700
2020-03-31,42.639999,43.980000,41.630001,42.150002,42.150002,794400
2020-04-01,39.810001,40.270000,37.840000,37.869999,37.869999,525500
2020-04-02,36.830002,38.009998,36.369999,37.130001,37.130001,437800
2020-04-03,36.070000,36.400002,33.630001,34.340000,34.340000,482000
2020-04-06,38.610001,39.700001,38.259998,39.509998,39.509998,611600
2020-04-07,45.599998,45.759998,41.049999,41.270000,41.270000,737700
2020-04-08,42.090000,43.990002,41.709999,43.669998,43.669998,490500
2020-04-09,45.000000,46.529999,44.599998,45.779999,45.779999,479100
2020-04-13,45.340000,45.810001,42.029999,43.610001,43.610001,372500
2020-04-14,43.380001,44.810001,42.720001,43.689999,43.689999,578400
2020-04-15,40.900002,41.849998,40.450001,41.320000,41.320000,587800
2020-04-16,40.419998,40.669998,39.720001,40.610001,40.610001,452000
2020-04-17,43.880001,44.529999,43.480000,44.080002,44.080002,657200
2020-04-20,43.820000,44.470001,43.150002,43.180000,43.180000,418900
2020-04-21,42.849998,43.419998,41.740002,42.080002,42.080002,438600
2020-04-22,43.369999,43.369999,42.310001,42.740002,42.740002,221000
2020-04-23,42.189999,43.630001,42.189999,42.549999,42.549999,238000
2020-04-24,41.730000,42.279999,41.330002,41.910000,41.910000,310500
2020-04-27,44.189999,45.090000,44.009998,44.730000,44.730000,379900
2020-04-28,45.400002,45.950001,44.709999,45.389999,45.389999,344900
2020-04-29,47.410000,50.349998,47.299999,49.509998,49.509998,536600
2020-04-30,45.529999,46.750000,44.860001,45.560001,45.560001,558200
2020-05-01,43.720001,44.570000,42.930000,43.990002,43.990002,326700
2020-05-04,41.720001,42.930000,41.330002,42.700001,42.700001,354400
2020-05-05,43.369999,44.270000,42.889999,43.540001,43.540001,370100
2020-05-06,43.250000,43.650002,42.000000,42.080002,42.080002,241400
2020-05-07,43.570000,44.700001,43.400002,44.330002,44.330002,383300
2020-05-08,45.009998,45.639999,44.740002,45.360001,45.360001,248300
2020-05-11,43.060001,44.410000,42.590000,43.709999,43.709999,452400
2020-05-12,43.029999,43.279999,41.369999,41.369999,41.369999,563000
2020-05-13,40.130001,40.340000,37.770000,38.259998,38.259998,495000
2020-05-14,36.880001,39.380001,36.549999,39.330002,39.330002,591800
2020-05-15,39.130001,39.820000,38.669998,39.759998,39.759998,411500
2020-05-18,41.400002,43.790001,41.369999,43.570000,43.570000,468700
2020-05-19,43.910000,45.349998,43.060001,43.959999,43.959999,500000
2020-05-20,44.580002,44.970001,43.770000,44.410000,44.410000,317200
